"","fieldno","Ntmax","Npmax","Nltmax"
"1","IDNDS1301",30,15,5
"2","IDNDS1302",25,11,6
"3","IDNDS1303",35,20,5
"4","IDNDS1304",23,15,6
"5","IDNDS1305",33,22,7
"6","IDNDS1306",27,19,4
"7","IDNDS1307",25,20,5
"8","IDNDS1309",33,20,7
"9","IDNDS1310",28,20,5
"10","IDNDS1311",21,13,7
"11","IDNDS1312",20,10,5
"12","IDNDS1313",20,10,5
"13","IDNDS1314",33,18,4
"14","IDNDS1315",29,7,5
"15","IDNWS1301",48,18,6
"16","IDNWS1302",32,17,6
"17","IDNWS1303",23,18,5
"18","IDNWS1304",26,22,5
"19","IDNWS1305",37,25,5
"20","IDNWS1306",30,23,5
"21","IDNWS1307",23,16,5
"22","IDNWS1308",25,21,5
"23","IDNWS1309",25,24,4
"24","IDNWS1310",26,112,4
"25","IDNWS1311",35,17,5
"26","IDNWS1312",37,18,6
"27","IDNWS1313",133,22,7
"28","IDNWS1314",37,14,5
"29","IDNWS1315",33,17,5
