"","Fno","WAA","WBA"
"1","IDNDS1301",225,0
"2","IDNDS1302",37.5,150
"3","IDNDS1303",0,225
"4","IDNDS1304",0,225
"5","IDNDS1305",112.5,225
"6","IDNDS1306",0,112.5
"7","IDNDS1307",225,0
"8","IDNDS1308",112.5,112.5
"9","IDNDS1309",112.5,112.5
"10","IDNDS1310",225,225
"11","IDNDS1311",0,112.5
"12","IDNDS1312",225,225
"13","IDNDS1313",112.5,112.5
"14","IDNDS1314",112.5,225
"15","IDNDS1315",225,225
"16","IDNWS1301",0,0
"17","IDNWS1302",0,0
"18","IDNWS1303",0,0
"19","IDNWS1304",0,0
"20","IDNWS1306",0,0
"21","IDNWS1307",0,0
"22","IDNWS1308",0,0
"23","IDNWS1309",0,0
"24","IDNWS1310",0,0
"25","IDNWS1311",0,112.5
"26","IDNWS1312",0,37.5
"27","IDNWS1313",0,112.5
"28","IDNWS1314",0,75
"29","IDNWS1315",0,0
"30","VNMwet1306",0,337.5
