"","fieldno","Ntmax","Npmax","Nltmax"
"1","INDodsDS1301",24,20,5
"2","INDodsDS1302",19,18,5
"3","INDodsDS1303",20,16,5
"4","INDodsDS1304",30,27,5
"5","INDodsDS1305",30,26,5
"6","INDodsDS1306",22,19,5
"7","INDodsDS1307",23,19,5
"8","INDodsDS1308",20,16,5
"9","INDodsDS1309",21,18,5
"10","INDodsDS1310",26,23,5
"11","INDodsDS1311",24,21,5
"12","INDodsDS1312",20,17,6
"13","INDodsDS1313",26,21,5
"14","INDodsDS1314",28,25,5
"15","INDodsDS1315",22,19,5
"16","INDodsWS1301",19,15,5
"17","INDodsWS1302",36,32,5
"18","INDodsWS1303",22,19,5
"19","INDodsWS1304",30,27,5
"20","INDodsWS1305",30,26,5
"21","INDodsWS1306",22,19,5
"22","INDodsWS1307",23,19,5
"23","INDodsWS1308",20,16,5
"24","INDodsWS1309",21,18,36
"25","INDodsWS1310",25,16,5
"26","INDodsWS1311",24,21,5
"27","INDodsWS1312",20,17,6
