"","Fno","WAA","WBA"
"1","INDodsDS1301",83.3333333333333,125
"2","INDodsDS1302",0,208.333333333333
"3","INDodsDS1303",0,125
"4","INDodsDS1304",0,125
"5","INDodsDS1305",125,250
"6","INDodsDS1306",125,0
"7","INDodsDS1307",250,0
"8","INDodsDS1308",0,0
"9","INDodsDS1309",125,0
"10","INDodsDS1310",125,125
"11","INDodsDS1311",0,125
"12","INDodsDS1312",0,125
"13","INDodsDS1313",0,0
"14","INDodsDS1314",125,250
"15","INDodsDS1315",125,0
"16","INDodsWS1301",125,0
"17","INDodsWS1302",0,0
"18","INDodsWS1303",0,250
"19","INDodsWS1304",0,250
"20","INDodsWS1305",125,0
"21","INDodsWS1306",0,250
"22","INDodsWS1307",250,0
"23","INDodsWS1308",0,125
"24","INDodsWS1309",125,0
"25","INDodsWS1310",0,0
"26","INDodsWS1311",0,125
"27","INDodsWS1312",0,0
