,Fno,WAA,WBA
1,INDkutDS1301,125,0
2,INDkutDS1302,0,125
3,INDkutDS1303,0,250
4,INDkutDS1304,0,250
5,INDkutDS1305,125,250
6,INDkutDS1307,125,125
7,INDkutDS1308,0,125
8,INDkutDS1309,125,125
9,INDkutDS1310,250,250
10,INDkutDS1311,0,125
11,INDkutDS1312,250,250
12,INDkutDS1313,125,125
13,INDkutDS1314,125,250
14,INDkutDS1315,250,250
15,INDkutWS1301,250,0
16,INDkutWS1302,41.66666667,166.6666667
17,INDkutWS1303,0,250
18,INDkutWS1304,0,250
19,INDkutWS1305,125,250
20,INDkutWS1307,250,0
21,INDkutWS1308,125,125
22,INDkutWS1309,125,125
23,INDkutWS1310,208.3333333,250
24,INDkutWS1311,0,125
25,INDkutWS1312,250,250
26,INDkutWS1313,125,125
27,INDkutWS1314,125,250
28,INDkutWS1315,250,250
