"","fieldno","Ntmax","Npmax","Nltmax"
"1","THAWS1301",19,18,4
"2","THAWS1302",17,16,4
"3","THAWS1303",17,112,4
"4","THAWS1304",16,15,4
"5","THAWS1305",18,18,5
"6","THAWS1306",15,15,4
"7","THAWS1307",16,14,5
"8","THAWS1308",15,13,5
"9","THAWS1309",16,14,5
"10","THAWS1310",16,14,5
"11","THAWS1311",13,13,5
"12","THAWS1312",16,13,5
"13","THAWS1313",19,14,5
"14","THAWS1314",19,17,5
"15","THAWS1315",15,13,5
"16","THAWS1316",15,14,6
"17","THAWS1317",18,16,4
"18","THAWS1318",14,12,5
"19","THAWS1319",17,12,5
"20","THAWS1320",16,14,5
