"","Fno","WAA","WBA"
"1","THAWS1301",708.333333333333,875
"2","THAWS1302",833.333333333333,750
"3","THAWS1303",458.333333333333,625
"4","THAWS1304",708.333333333333,125
"5","THAWS1305",458.333333333333,250
"6","THAWS1306",0,0
"7","THAWS1307",250,208.333333333333
"8","THAWS1308",291.666666666667,458.333333333333
"9","THAWS1309",333.333333333333,291.666666666667
"10","THAWS1310",83.3333333333333,375
"11","THAWS1311",83.3333333333333,375
"12","THAWS1312",291.666666666667,250
"13","THAWS1313",250,250
"14","THAWS1314",166.666666666667,166.666666666667
"15","THAWS1315",125,250
"16","THAWS1316",83.3333333333333,250
"17","THAWS1317",0,0
"18","THAWS1318",125,250
"19","THAWS1319",83.3333333333333,375
"20","THAWS1320",125,250
