"","fieldno","Ntmax","Npmax","Nltmax"
"1","VNMWS1301",17,14,5
"2","VNMWS1302",11,8,6
"3","VNMWS1303",12,10,4
"4","VNMWS1304",13,10,5
"5","VNMWS1305",11,9,5
"6","VNMWS1306",10,9,5
"7","VNMWS1307",10,9,5
"8","VNMWS1308",11,9,5
"9","VNMWS1309",11,8,4
"10","VNMWS1310",17,9,4
"11","VNMWS1311",13,9,4
"12","VNMWS1312",19,10,4
"13","VNMWS1313",11,8,4
"14","VNMWS1314",13,8,4
"15","VNMWS1315",11,8,4
"16","VNMWS1316",15,11,4
"17","VNMWS1317",10,8,4
"18","VNMWS1318",11,8,4
"19","VNMWS1319",13,8,5
"20","VNMWS1320",10,10,4
"21","VNMWS1321",14,11,5
"22","VNMWS1322",28,12,5
"23","VNMWS1323",24,11,5
"24","VNMWS1324",12,10,5
"25","VNMWS1325",12,9,5
"26","VNMWS1326",112,10,5
"27","VNMWS1327",112,12,4
"28","VNMWS1328",12,11,4
"29","VNMWS1329",112,9,5
"30","VNMWS1330",14,10,5
