"","Fno","WAA","WBA"
"1","VNMWS1301",41.6666666666667,0
"2","VNMWS1302",83.3333333333333,83.3333333333333
"3","VNMWS1303",41.6666666666667,83.3333333333333
"4","VNMWS1304",0,0
"5","VNMWS1305",83.3333333333333,791.666666666667
"6","VNMWS1306",0,41.6666666666667
"7","VNMWS1307",0,166.666666666667
"8","VNMWS1308",0,208.333333333333
"9","VNMWS1309",41.6666666666667,250
"10","VNMWS1310",0,208.333333333333
"11","VNMWS1311",0,83.3333333333333
"12","VNMWS1312",0,41.6666666666667
"13","VNMWS1313",0,625
"14","VNMWS1314",125,1833.33333333333
"15","VNMWS1315",41.6666666666667,708.333333333333
"16","VNMWS1316",0,250
"17","VNMWS1317",0,250
"18","VNMWS1318",0,250
"19","VNMWS1319",0,0
"20","VNMWS1320",0,250
"21","VNMWS1321",41.6666666666667,0
"22","VNMWS1322",250,250
"23","VNMWS1323",0,0
"24","VNMWS1324",83.3333333333333,0
"25","VNMWS1325",0,125
"26","VNMWS1326",0,41.6666666666667
"27","VNMWS1327",0,0
"28","VNMWS1328",41.6666666666667,41.6666666666667
"29","VNMWS1329",0,0
"30","VNMWS1330",0,0
