,fieldno,country,season,visit,m.LF,m.LM,m.RH,m.WM,m.BLB,m.BLS,m.LB,m.LS,m.NBS,m.RS,m.DH,m.RT,m.RB,m.SS,m.WH,m.PM,m.DP,m.FSm,m.NB,m.ShB,m.ShR
1,INDodsDS1301,IND.ods,DS,1,4.167342599,0,0,1.294949495,2.052506266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0
2,INDodsDS1301,IND.ods,DS,2,1.553892967,0,0,0,0,0,2.885414706,0,0,0,0,0,0,0,9.090909091,0,0,0,0,17.39130435,0
3,INDodsDS1302,IND.ods,DS,1,0.869281046,0,0,1.761437908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333,0
4,INDodsDS1302,IND.ods,DS,2,0.810113519,0,0,0,19.09500057,0,0,0,0,0,42.10526316,27.77777778,0,0,29.41176471,0,0,0,0,44.44444444,0
5,INDodsDS1303,IND.ods,DS,1,3.534115266,0,0,0,13.52411288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.89473684,0
6,INDodsDS1303,IND.ods,DS,2,1.558123249,0,0,0,7.028555867,0,0,0,0,0,0,0,0,0,11.11111111,0,0,0,0,17.64705882,0
7,INDodsDS1304,IND.ods,DS,1,1.733695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18181818,0
8,INDodsDS1304,IND.ods,DS,2,0.667454353,0,0,0,15.94836989,0,0,0,0,0,0,0,0,0,3.846153846,0,0,0,0,53.57142857,0
9,INDodsDS1305,IND.ods,DS,1,5.145220058,0,0,0,14.18026034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,INDodsDS1305,IND.ods,DS,2,2.40239218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0
11,INDodsDS1306,IND.ods,DS,1,1.460529666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22222222,0
12,INDodsDS1306,IND.ods,DS,2,34.74609429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,64.28571429,0
13,INDodsDS1307,IND.ods,DS,1,1.673623037,0,0,7.290763304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.85714286,0
14,INDodsDS1307,IND.ods,DS,2,4.197147237,0,0,16.04574953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.70588235,0
15,INDodsDS1308,IND.ods,DS,1,0,0,0,7.296675255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
16,INDodsDS1308,IND.ods,DS,2,2.451593288,0,0,0,25.51632393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.29411765,0
17,INDodsDS1309,IND.ods,DS,1,2.266036415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
18,INDodsDS1309,IND.ods,DS,2,0,0,0,0,25.98037326,0,0,0,0,0,0,15.78947368,0,0,11.76470588,0,0,0,0,30.76923077,0
19,INDodsDS1310,IND.ods,DS,1,1.893099207,0,0,8.756122036,11.92769741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
20,INDodsDS1310,IND.ods,DS,2,0,0,0,0,0,0,0,0,0,0,15.38461538,0,0,0,10,0,0,0,0,58.82352941,0
21,INDodsDS1311,IND.ods,DS,1,5.752358168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.75,0
22,INDodsDS1311,IND.ods,DS,2,10.94327731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.66666667,0
23,INDodsDS1312,IND.ods,DS,1,3.307362665,0,0,0,0,0,1.815400973,0,0,0,0,0,0,0,0,0,0,0,0,66.66666667,0
24,INDodsDS1312,IND.ods,DS,2,24.05243072,0,0,0,19.75864715,0,0,0,0,0,0,16.66666667,0,0,16.66666667,0,0,15,0,12.85714286,0
25,INDkutDS1301,IND.kul,DS,1,3.954479344,0,0,0.487179487,2.018715547,0,0,0,0,0,9.090909091,0,0,0,0,0,0,0,0,17.64705882,0
26,INDkutDS1301,IND.kul,DS,2,1.131597848,0,0,0,3.750228514,0,0,0,0,0,0,0,0,0,7.407407407,0,0,0,0,16,0
27,INDkutDS1302,IND.kul,DS,1,0.627090301,0,0,1.203990454,10.53106575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.08695652,0
28,INDkutDS1302,IND.kul,DS,2,0.603649224,0,0,0,12.82367091,0,0,0,0,0,0,0,0,0,19.23076923,0,0,0,0,34.7826087,0
29,INDkutDS1303,IND.kul,DS,1,1.002901275,0,0,0,11.34340468,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,64.28571429,0
30,INDkutDS1303,IND.kul,DS,2,0.830815545,0,0,0,3.996585469,0,0,0,0,0,0,0,0,0,5.882352941,0,0,0,0,22.22222222,0
31,INDkutDS1304,IND.kul,DS,1,1.422619048,0,0,0,4.903173819,0,0,0,0,0,8.695652174,0,0,0,0,0,0,0,0,0,0
32,INDkutDS1304,IND.kul,DS,2,0.667454353,0,0,0,15.94836989,0,0,0,0,0,0,0,0,0,3.846153846,0,0,0,0,53.57142857,0
33,INDkutDS1305,IND.kul,DS,1,7.482233633,0,0,0,24.42258969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,INDkutDS1305,IND.kul,DS,2,0.921836624,0,0,0,15.05275813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0
35,INDkutDS1306,IND.kul,DS,1,1.460529666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,INDkutDS1306,IND.kul,DS,2,34.74609429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,64.28571429,0
37,INDkutDS1307,IND.kul,DS,1,1.29376442,0,0,5.775986801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.58823529,0
38,INDkutDS1307,IND.kul,DS,2,4.197147237,0,0,16.04574953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.70588235,0
39,INDkutDS1308,IND.kul,DS,1,0,0,0,7.296675255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
40,INDkutDS1308,IND.kul,DS,2,2.451593288,0,0,0,25.51632393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,INDkutDS1309,IND.kul,DS,1,1.239845938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
42,INDkutDS1309,IND.kul,DS,2,0,0,0,0,25.98037326,0,0,0,0,0,0,15.78947368,0,0,11.76470588,0,0,0,0,0,0
