"","SKEP","Year","Fno","Identifier","DVS","DVS2","WS","WS2","Wstress"
"1","SKEPI",2011,"1","SKP-IN-COI-RAM-WS2011-1","40",90,6,6,-1
"2","SKEPI",2011,"2","SKP-IN-COI-RAM-WS2011-2","50",90,6,7,-1
"3","SKEPI",2011,"3","SKP-IN-COI-KAL-WS2011-3","50",90,7,7,0
"4","SKEPI",2011,"4","SKP-IN-COI-KAL-WS2011-4","50",90,7,7,0
"5","SKEPI",2011,"5","SKP-IN-COI-ANA-WS2011-5","50",60,7,7,0
"6","SKEPI",2011,"6","SKP-IN-COI-RAM-WS2011-6","40",90,2,7,-1
"7","SKEPI",2011,"7","SKP-IN-ERO-MAN-WS2011-7","40",90,5,9,-1
"8","SKEPI",2011,"8","SKP-IN-COI-KAL-WS2011-8","40",90,2,7,-1
"9","SKEPI",2011,"9","SKP-IN-COI-MAL-WS2011-9","40",90,2,2,-1
"10","SKEPI",2011,"10","SKP-IN-COI-MAL-WS2011-10","40",90,7,7,0
"11","SKEPI",2010,"11","SKEP-IN-COI-MAY-WS2010-11","40",90,6,6,-1
"12","SKEPI",2010,"12","SKEP-IN-COI-MAY-WS2010-12","40",90,2,2,-1
"13","SKEPI",2010,"13","SKEP-IN-COI-MAY-WS2010-13","40",90,3,6,-1
"14","SKEPI",2010,"14","SKEP-IN-COI-MAY-WS2010-14","50",90,5,5,-1
"15","SKEPI",2010,"15","SKEP-IN-COI-MAY-WS2010-15","40",90,3,5,-1
"16","SKEPI",2010,"16","SKEP-IN-COI-MAY-WS2010-16","40",90,2,7,-1
"17","SKEPI",2010,"17","SKEP-IN-COI-MAY-WS2010-17","50",90,2,7,-1
"18","SKEPI",2011,"18","SKP-IN-COI-NEL-WS2011-18","40",90,6,7,-1
"19","SKEPI",2011,"19","SKEP-IN-COI-MAY-WS2010-19","40",90,2,3,-1
"20","SKEPI",2011,"20","SKEP-IN-COI-MAY-WS2010-20","40",90,6,7,-1
"21","SKEPI",2011,"21","SKEP-IN-COI-MAY-WS2010-21","40",90,0,6,-1
"22","SKEPI",2011,"22","SKEP-IN-COI-MAY-WS2010-22","50",90,2,8,-1
"23","SKEPI",2011,"23","SKEP-IN-COI-MAY-WS2010-23","40",90,6,6,-1
"24","SKEPI",2011,"24","SKP-IN-COI-ANA-WS2011-24","40",90,2,7,-1
"25","SKEPI",2010,"25","SKEP-IN-COI-MAY-WS2010-25","40",90,6,7,-1
"26","SKEPI",2010,"26","SKEP-IN-COI-MAY-WS2010-26","50",90,6,6,-1
"27","SKEPI",2011,"27","SKP-IN-COI-MAL-WS2011-27","40",90,6,7,-1
"28","SKEPI",2011,"28","SKP-IN-COI-ANA-WS2011-28","50",90,7,7,0
"29","SKEPI",2011,"29","SKEP-IN-COI-MAY-WS2010-29","50",90,7,7,0
"30","SKEPI",2011,"30","SKEP-IN-COI-MAY-WS2010-30","40",90,2,7,-1
"31","SKEPI",2011,"1","SKEP-IN-ERO-OPA-DS2011-1","50",90,5,6,-1
"32","SKEPI",2011,"2","SKEP-IN-ERO-OPA-DS2011-2","50",90,5,7,-1
"33","SKEPI",2011,"3","SKEP-IN-ERO-THA-DS2011-3","50",90,6,7,-1
"34","SKEPI",2011,"4","SKEP-IN-ERO-MIL-DS2011-4","50",90,7,7,0
"35","SKEPI",2011,"5","SKEP-IN-ERO-KET-DS2011-5","50",90,6,7,-1
"36","SKEPI",2011,"6","SKEP-IN-ERO-PER-DS2011-6","50",90,2,7,-1
"37","SKEPI",2011,"7","SKEP-IN-ERO-PER-DS2011-7","50",90,5,9,-1
"38","SKEPI",2011,"8","SKEP-IN-ERO-PAL-DS2011-8","50",90,4,7,-1
"39","SKEPI",2011,"9","SKEP-IN-ERO-KAN-DS2011-9","50",90,5,2,-1
"40","SKEPI",2011,"10","SKEP-IN-ERO-KET-DS2011-10","50",90,7,7,0
"41","SKEPI",2011,"11","SKEP-IN-ERO-KAK-DS2011-11","50",90,6,6,-1
"42","SKEPI",2011,"12","SKEP-IN-ERO-GAN-DS2011-12","50",90,4,7,-1
"43","SKEPI",2011,"13","SKEP-IN-ERO-KET-DS2011-13","50",90,3,6,-1
"44","SKEPI",2011,"14","SKEP-IN-ERO-MET-DS2011-14","50",90,5,5,-1
"45","SKEPI",2011,"15","SKEP-IN-ERO-PER-DS2011-15","50",90,3,5,-1
"46","SKEPI",2011,"16","SKEP-IN-ERO-PUD-DS2011-16","50",90,2,7,-1
"47","SKEPI",2011,"17","SKEP-IN-ERO-KAN-DS2011-17","50",90,2,7,-1
"48","SKEPI",2011,"18","SKEP-IN-ERO-KOT-DS2011-18","50",90,6,7,-1
"49","SKEPI",2011,"19","SKEP-IN-ERO-MOO-DS2011-19","50",90,2,3,-1
"50","SKEPI",2011,"20","SKEP-IN-ERO-VED-DS2011-20","50",90,6,7,-1
"51","SKEPI",2011,"21","SKEP-IN-ERO-VED-DS2011-21","50",90,6,6,-1
"52","SKEPI",2011,"22","SKEP-IN-ERO-VED-DS2011-22","50",90,2,8,-1
"53","SKEPI",2011,"23","SKEP-IN-ERO-VED-DS2011-23","50",90,4,6,-1
"54","SKEPI",2011,"24","SKEP-IN-ERO-SAL-DS2011-24","50",90,6,6,-1
"55","SKEPI",2011,"25","SKEP-IN-ERO-VED-DS2011-25","50",90,4,7,-1
"56","SKEPI",2011,"26","SKEP-IN-ERO-THA-DS2011-26","50",90,6,7,-1
"57","SKEPI",2011,"27","SKEP-IN-ERO-THE-DS2011-27","50",90,6,7,-1
"58","SKEPI",2011,"28","SKEP-IN-ERO-CHI-DS2011-28","50",90,7,7,0
"59","SKEPI",2011,"29","SKEP-IN-ERO-CHI-DS2011-29","50",90,7,7,0
"60","SKEPI",2011,"30","SKEP-IN-ERO-PUT-DS2011-30","50",90,4,7,-1
"61","SKEPI",2010,"9","SKP-ID-WJ-CIP-WS2010-9","60",100,6,2,-1
"62","SKEPI",2010,"11","SKP-ID-WJ-PUR-WS2010-11","60",90,0,8,-1
"63","SKEPI",2010,"18","SKP-ID-WJ-SUB-WS2010-18","60",100,0,3,-1
"64","SKEPI",2010,"19","SKP-ID-WJ-PAM-WS2010-19","60",90,8,0,-1
"65","SKEPI",2010,"20","SKP-ID-WJ-SUB-WS2010-20","60",90,0,6,-1
"66","SKEPI",2010,"Field 1","SKP-PH-LAG-BAY-WS2010-1","40",100,7,7,0
"67","SKEPI",2010,"Field 2","SKP-PH-LAG-BAY-WS2010-2","40",100,7,7,0
"68","SKEPI",2010,"Field 3","SKP-PH-LAG-BAY-WS2010-3","40",100,5,3,-1
"69","SKEPI",2010,"Field 4","SKP-PH-LAG-BAY-WS2010-4","40",100,5,3,-1
"70","SKEPI",2010,"Field 5","SKP-PH-LAG-CAL-WS2010-5","40",100,3,3,-1
"71","SKEPI",2010,"Field 6","SKP-PH-LAG-CAL-WS2010-6","40",100,3,3,-1
"72","SKEPI",2010,"Field 7","SKP-PH-LAG-CAL-WS2010-7","40",100,7,3,0
"73","SKEPI",2010,"Field 8","SKP-PH-LAG-CAL-WS2010-8","40",100,7,3,0
"74","SKEPI",2010,"Field 9","SKP-PH-LAG-CAL-WS2010-9","40",100,7,3,0
"75","SKEPI",2010,"Field 10","SKP-PH-LAG-CAL-WS2010-10","40",100,7,2,0
"76","SKEPI",2010,"Field 11","SKP-PH-LAG-PAG-WS2010-11","40",100,4,2,-1
"77","SKEPI",2010,"Field 12","SKP-PH-LAG-PAG-WS2010-12","40",100,7,7,0
"78","SKEPI",2010,"Field 13","SKP-PH-LAG-PAG-WS2010-13","40",100,5,7,-1
"79","SKEPI",2010,"Field 14","SKP-PH-LAG-PAG-WS2010-14","40",100,5,3,-1
"80","SKEPI",2010,"Field 15","SKP-PH-LAG-PAG-WS2010-15","40",100,7,3,0
"81","SKEPI",2010,"Field 16","SKP-PH-LAG-PAG-WS2010-16","40",100,7,2,0
"82","SKEPI",2010,"Field 17","SKP-PH-LAG-PAG-WS2010-17","40",100,7,2,0
"83","SKEPI",2010,"Field 18","SKP-PH-LAG-PAG-WS2010-18","40",100,2,2,-1
"84","SKEPI",2010,"Field 19","SKP-PH-LAG-PAG-WS2010-19","40",100,2,2,-1
"85","SKEPI",2010,"Field 20","SKP-PH-LAG-PAG-WS2010-20","40",100,7,2,0
"86","SKEPI",2010,"Field 21","SKP-VN-ST-AN-WS2010-1","40",90,3,1,-1
"87","SKEPI",2010,"Field 22","SKP-VN-AG-BH-WS2010-2","40",90,3,1,-1
"88","SKEPI",2010,"Field 23","SKP-VN-AG-BH-WS2010-3","40",90,6,1,-1
"89","SKEPI",2010,"Field 24","SKP-VN-AG-BH-WS2010-4","40",90,10,8,1
"90","SKEPI",2010,"Field 25","SKP-VN-DT-MH-WS2010-5","40",90,8,1,-1
"91","SKEPI",2010,"Field 26","SKP-VN-DT-TK-WS2010-6","40",90,10,1,1
"92","SKEPI",2010,"Field 27","SKP-VN-DT-TK-WS2010-7","40",90,10,2,1
"93","SKEPI",2010,"Field 28","SKP-VN-HG-VT-WS2010-8","40",90,9,1,0
"94","SKEPI",2010,"Field 29","SKP-VN-HG-VT-WS2010-9","40",90,6,6,-1
"95","SKEPI",2010,"Field 30","SKP-VN-HG-VT-WS2010-10","40",90,7,11,0
"96","SKEPI",2010,"Field 31","SKP-VN-LA-TT-WS2010-11","40",90,10,2,1
"97","SKEPI",2010,"Field 32","SKP-VN-LA-TT-WS2010-12","40",90,5,1,-1
"98","SKEPI",2010,"Field 33","SKP-VN-LA-TT-WS2010-13","40",90,5,1,-1
"99","SKEPI",2010,"Field 34","SKP-VN-ST-AN-WS2010-14","40",90,2,2,-1
"100","SKEPI",2010,"Field 35","SKP-VN-ST-AN-WS2010-15","40",90,7,1,0
"101","SKEPI",2010,"Field 36","SKP-VN-VL-DT-WS2010-16","40",90,6,7,-1
"102","SKEPI",2010,"Field 37","SKP-VN-VL-DT-WS2010-17","40",90,6,7,-1
"103","SKEPI",2010,"Field 38","SKP-VN-VL-DT-WS2010-18","40",90,5,6,-1
"104","SKEPI",2010,"Field 39","SKP-VN-VL-THU-WS2010-19","40",90,6,6,-1
"105","SKEPI",2010,"Field 40","SKP-VN-VL-TUO-WS2010-20","40",90,6,6,-1
"106","SKEPI",2010,"Field 41","SKP-VN-CAT-PHU-WS2010-21","40",90,8,8,-1
"107","SKEPI",2010,"Field 42","SKP-VN-CAT-PHU-WS2010-22","40",90,1,8,-1
"108","SKEPI",2010,"Field 43","SKP-VN-CAT-TRU-WS2010-23","40",90,6,6,-1
"109","SKEPI",2010,"Field 44","SKP-VN-CAT-TRU-WS2010-24","40",90,6,6,-1
"110","SKEPI",2010,"Field 45","SKP-VN-CAT-TH-WS2010-25","40",90,8,8,-1
"111","SKEPI",2010,"Field 46","SKP-VN-CAT-TK-WS2010-26","40",90,8,8,-1
"112","SKEPI",2010,"Field 47","SKP-VN-CAT-TH-WS2010-27","40",90,6,5,-1
"113","SKEPI",2010,"Field 48","SKP-VN-CAT-TK-WS2010-28","40",90,6,8,-1
"114","SKEPI",2010,"Field 49","SKP-VN-CAT-TK-WS2010-29","40",90,6,9,-1
"115","SKEPI",2010,"Field 50","SKP-VN-CAT-TK-WS2010-30","40",90,0,3,-1
"116","SKEPI",2010,"Field 51","SKP-TH-CHA-HUN-WS2010-1","40",70,8,8,-1
"117","SKEPI",2010,"Field 52","SKP-TH-CHA-HUN-WS2010-2","40",70,9,4,0
"118","SKEPI",2010,"Field 53","SKP-TH-CHA-HUN-WS2010-3","40",70,9,4,0
"119","SKEPI",2010,"Field 54","SKP-TH-SUP-DB-WS2010-4","40",70,2,2,-1
"120","SKEPI",2010,"Field 55","SKP-TH-SUP-DB-WS2010-5","40",70,2,2,-1
"121","SKEPI",2010,"Field 56","SKP-TH-SUP-DB-WS2010-6","40",70,5,5,-1
"122","SKEPI",2010,"Field 57","SKP-TH-SUP-DB-WS2010-7","40",70,5,5,-1
"123","SKEPI",2010,"Field 58","SKP-TH-SUP-DB-WS2010-8","40",70,5,5,-1
