"","Fno","x.WA","x.WB"
"1","IDNDS1301",300,0
"2","IDNDS1302",50,200
"3","IDNDS1303",0,300
"4","IDNDS1304",0,300
"5","IDNDS1305",150,300
"6","IDNDS1306",0,150
"7","IDNDS1307",300,0
"8","IDNDS1308",150,150
"9","IDNDS1309",150,150
"10","IDNDS1310",300,300
"11","IDNDS1311",0,150
"12","IDNDS1312",300,300
"13","IDNDS1313",150,150
"14","IDNDS1314",150,300
"15","IDNDS1315",300,300
"16","IDNWS1301",0,0
"17","IDNWS1302",0,0
"18","IDNWS1303",0,0
"19","IDNWS1304",0,0
"20","IDNWS1306",0,0
"21","IDNWS1307",0,0
"22","IDNWS1308",0,0
"23","IDNWS1309",0,0
"24","IDNWS1310",0,0
"25","IDNWS1311",0,150
"26","IDNWS1312",0,50
"27","IDNWS1313",0,150
"28","IDNWS1314",0,100
"29","IDNWS1315",0,0
"30","INDkutDS1301",150,0
"31","INDkutDS1302",0,150
"32","INDkutDS1303",0,300
"33","INDkutDS1304",0,300
"34","INDkutDS1305",150,300
"35","INDkutDS1307",150,150
"36","INDkutDS1308",0,150
"37","INDkutDS1309",150,150
"38","INDkutDS1310",300,300
"39","INDkutDS1311",0,150
"40","INDkutDS1312",300,300
"41","INDkutDS1313",150,150
"42","INDkutDS1314",150,300
"43","INDkutDS1315",300,300
"44","INDkutWS1301",300,0
"45","INDkutWS1302",50,200
"46","INDkutWS1303",0,300
"47","INDkutWS1304",0,300
"48","INDkutWS1305",150,300
"49","INDkutWS1307",300,0
"50","INDkutWS1308",150,150
"51","INDkutWS1309",150,150
"52","INDkutWS1310",250,300
"53","INDkutWS1311",0,150
"54","INDkutWS1312",300,300
"55","INDkutWS1313",150,150
"56","INDkutWS1314",150,300
"57","INDkutWS1315",300,300
"58","INDodsDS1301",100,150
"59","INDodsDS1302",0,250
"60","INDodsDS1303",0,150
"61","INDodsDS1304",0,150
"62","INDodsDS1305",150,300
"63","INDodsDS1306",150,0
"64","INDodsDS1307",300,0
"65","INDodsDS1308",0,0
"66","INDodsDS1309",150,0
"67","INDodsDS1310",150,150
"68","INDodsDS1311",0,150
"69","INDodsDS1312",0,150
"70","INDodsDS1313",0,0
"71","INDodsDS1314",150,300
"72","INDodsDS1315",150,0
"73","INDodsWS1301",150,0
"74","INDodsWS1302",0,0
"75","INDodsWS1303",0,300
"76","INDodsWS1304",0,300
"77","INDodsWS1305",150,0
"78","INDodsWS1306",0,300
"79","INDodsWS1307",300,0
"80","INDodsWS1308",0,150
"81","INDodsWS1309",150,0
"82","INDodsWS1310",0,0
"83","INDodsWS1311",0,150
"84","INDodsWS1312",0,0
"85","THAWS1301",850,1050
"86","THAWS1302",1000,900
"87","THAWS1303",550,750
"88","THAWS1304",850,150
"89","THAWS1305",550,300
"90","THAWS1306",0,0
"91","THAWS1307",300,250
"92","THAWS1308",350,550
"93","THAWS1309",400,350
"94","THAWS1310",100,450
"95","THAWS1311",100,450
"96","THAWS1312",350,300
"97","THAWS1313",300,300
"98","THAWS1314",200,200
"99","THAWS1315",150,300
"100","THAWS1316",100,300
"101","THAWS1317",0,0
"102","THAWS1318",150,300
"103","THAWS1319",100,450
"104","THAWS1320",150,300
"105","VNMWS1301",50,0
"106","VNMWS1302",100,100
"107","VNMWS1303",50,100
"108","VNMWS1304",0,0
"109","VNMWS1305",100,950
"110","VNMWS1306",0,50
"111","VNMWS1307",0,200
"112","VNMWS1308",0,250
"113","VNMWS1309",50,300
"114","VNMWS1310",0,250
"115","VNMWS1311",0,100
"116","VNMWS1312",0,50
"117","VNMWS1313",0,750
"118","VNMWS1314",150,2200
"119","VNMWS1315",50,850
"120","VNMWS1316",0,300
"121","VNMWS1317",0,300
"122","VNMWS1318",0,300
"123","VNMWS1319",0,0
"124","VNMWS1320",0,300
"125","VNMWS1321",50,0
"126","VNMWS1322",300,300
"127","VNMWS1323",0,0
"128","VNMWS1324",100,0
"129","VNMWS1325",0,150
"130","VNMWS1326",0,50
"131","VNMWS1327",0,0
"132","VNMWS1328",50,50
"133","VNMWS1329",0,0
"134","VNMWS1330",0,0
